emp_no,birth_date,first_name,last_name,to_date,title
10356,1952-08-12,Vasilis,Standera,9999-01-01,Senior Staff
10364,1954-09-21,Nakhoon,Dengi,9999-01-01,Senior Engineer
10372,1952-04-08,Anneli,Frijda,9999-01-01,Technique Leader
10387,1952-11-03,Parto,Wrigley,9999-01-01,Senior Staff
10396,1955-08-21,Sibyl,Rahier,9999-01-01,Senior Engineer
10402,1953-07-23,Volkmar,Ebeling,9999-01-01,Technique Leader
10404,1955-04-27,Prodip,Rosti,9999-01-01,Senior Engineer
10426,1955-12-28,Arunas,Luce,9999-01-01,Technique Leader
10429,1952-02-13,Martien,Improta,9999-01-01,Senior Engineer
10432,1953-11-06,Hisao,Tiemann,9999-01-01,Senior Staff
10451,1952-10-06,Bodh,Ranta,9999-01-01,Senior Engineer
10453,1953-07-19,Tsvetan,Matzel,9999-01-01,Senior Staff
10463,1954-05-20,Ung,Zaiane,9999-01-01,Staff
10486,1952-08-24,Amstein,Kossowski,9999-01-01,Senior Engineer
10494,1953-12-21,Yakkov,Servieres,9999-01-01,Senior Engineer
10504,1953-04-07,Xiong,Varker,9999-01-01,Staff
10512,1955-11-16,Udi,Gihr,9999-01-01,Senior Staff
10522,1955-07-24,Marke,Cesareni,9999-01-01,Senior Staff
10548,1952-06-12,Ramalingam,Gunderson,9999-01-01,Senior Staff
10564,1955-04-14,Jianhao,Thisen,9999-01-01,Senior Engineer
10623,1953-07-11,Aleksander,Danlos,9999-01-01,Senior Engineer
10628,1954-04-18,Krisda,Krogh,9999-01-01,Senior Engineer
10631,1955-05-17,Inderjeet,Chaudhuri,9999-01-01,Engineer
10642,1955-12-19,Hirochika,Narlikar,9999-01-01,Engineer
10653,1953-06-16,Otmar,Feinberg,9999-01-01,Senior Engineer
10671,1953-06-12,Parviz,Rebaine,9999-01-01,Senior Staff
10676,1953-08-26,Valeri,Danley,9999-01-01,Engineer
10693,1953-12-14,Berhard,Daescu,9999-01-01,Senior Staff
10702,1952-11-25,Bader,Szemeredi,9999-01-01,Senior Engineer
10718,1955-12-19,Adib,Rullman,9999-01-01,Senior Engineer
10726,1954-01-11,Zita,Minakawa,9999-01-01,Senior Engineer
10734,1954-07-06,Sachar,Erdi,9999-01-01,Engineer
10745,1953-10-23,Poorav,Ranze,9999-01-01,Senior Engineer
10749,1955-08-21,King,Brendel,9999-01-01,Senior Engineer
10767,1954-02-28,Monique,Doering,9999-01-01,Staff
10768,1955-06-24,Ishfaq,Candan,9999-01-01,Senior Engineer
10778,1953-03-13,Selwyn,Merey,9999-01-01,Senior Staff
10791,1954-05-27,Tadahiko,Sgarro,9999-01-01,Senior Engineer
10795,1954-12-14,Supot,Naudin,9999-01-01,Senior Staff
10808,1955-09-11,Chenxi,Leijenhorst,9999-01-01,Senior Engineer
10835,1952-11-23,Tomoyuki,Kermarrec,9999-01-01,Engineer
10836,1953-07-15,Jianhua,Leivant,9999-01-01,Senior Staff
10844,1954-02-03,Dipayan,Koprowski,9999-01-01,Engineer
10847,1952-03-04,Theirry,Danley,9999-01-01,Senior Staff
10848,1954-07-16,Fen,Bratsberg,9999-01-01,Senior Engineer
10878,1952-06-13,Lakshmi,Deville,9999-01-01,Staff
10879,1953-08-18,Muzhong,Chleq,9999-01-01,Senior Engineer
10883,1952-07-30,Shimshon,Champarnaud,9999-01-01,Engineer
10909,1954-11-11,Georgi,Atchley,9999-01-01,Senior Engineer
10921,1955-07-20,Mara,Bahi,9999-01-01,Senior Engineer
10924,1954-04-27,Hironoby,Atchley,9999-01-01,Senior Staff
10927,1953-03-13,Gal,Scallan,9999-01-01,Senior Staff
10936,1953-04-08,Mountaz,Schicker,9999-01-01,Senior Staff
10943,1955-11-19,Berna,Skafidas,9999-01-01,Senior Engineer
10965,1955-07-10,Eckart,Braunschweig,9999-01-01,Senior Staff
10969,1954-09-05,Premal,Noriega,9999-01-01,Senior Engineer
10974,1952-03-07,Muneo,Papsdorf,9999-01-01,Senior Engineer
10986,1954-08-11,Masako,Schiper,9999-01-01,Technique Leader
10988,1955-06-24,Chinya,Deyuan,9999-01-01,Senior Engineer
10989,1954-09-08,Sumali,Candan,9999-01-01,Senior Staff
10990,1954-10-22,Shin,Foote,9999-01-01,Technique Leader
11009,1954-08-30,Alper,Axelband,9999-01-01,Senior Staff
11012,1953-09-12,Taegyun,Speckmann,9999-01-01,Staff
11019,1954-09-06,Leon,Huttel,9999-01-01,Senior Engineer
11021,1954-07-13,Srinidhi,Henders,9999-01-01,Staff
11027,1955-12-13,Remzi,Cappello,9999-01-01,Senior Engineer
11031,1954-12-20,Ottavia,Walstra,9999-01-01,Senior Staff
11037,1952-05-22,Lansing,Maliniak,9999-01-01,Senior Engineer
11038,1955-10-13,Jinya,Beidas,9999-01-01,Senior Staff
11042,1955-07-13,Gou,Breugel,9999-01-01,Senior Engineer
11048,1952-10-26,Jaques,Demke,9999-01-01,Senior Staff
11050,1952-09-23,Elvis,Katiyar,9999-01-01,Senior Staff
11051,1952-10-06,Przemyslawa,Erol,9999-01-01,Senior Engineer
11070,1952-06-30,Adib,Raney,9999-01-01,Senior Engineer
11081,1952-06-20,Barry,Boyle,9999-01-01,Senior Staff
11085,1953-09-08,Hailing,Thummel,9999-01-01,Senior Engineer
11100,1955-10-14,Berna,Cochrane,9999-01-01,Senior Staff
11106,1955-02-23,Aris,Iwayama,9999-01-01,Senior Engineer
11112,1954-08-05,Boaz,Mukaidono,9999-01-01,Staff
11113,1953-04-28,Shahab,Peng,9999-01-01,Senior Staff
11121,1953-02-13,Vugranam,Kakkad,9999-01-01,Senior Engineer
11133,1955-12-13,Nalini,Azulay,9999-01-01,Technique Leader
11134,1954-05-15,Sachar,Rajcani,9999-01-01,Senior Engineer
11137,1955-03-17,Hugh,Luca,9999-01-01,Engineer
11139,1955-10-13,Bogdan,Homond,9999-01-01,Senior Staff
11146,1954-06-25,Ishfaq,Masand,9999-01-01,Senior Staff
11148,1953-01-23,Zhanqiu,Botman,9999-01-01,Senior Staff
11162,1953-03-25,Kauko,Narlikar,9999-01-01,Senior Engineer
11180,1952-11-07,Mitsuyuki,Bojadziev,9999-01-01,Senior Engineer
11197,1955-05-11,Tadahiro,Fordan,9999-01-01,Senior Staff
11204,1955-12-15,Diederik,Covnot,9999-01-01,Technique Leader
11207,1955-08-14,Saeed,Gips,9999-01-01,Engineer
11208,1952-05-29,Saniya,Valtorta,9999-01-01,Technique Leader
11211,1952-12-11,Yurij,Rissland,9999-01-01,Senior Engineer
11217,1954-07-01,Kellie,Mawatari,9999-01-01,Senior Engineer
11232,1955-09-03,Hidefumi,Crelier,9999-01-01,Senior Staff
11240,1955-08-12,Kiam,Condotta,9999-01-01,Engineer
11249,1954-10-01,Randi,Cyre,9999-01-01,Engineer
11251,1955-10-16,Bezalel,Chinal,9999-01-01,Senior Staff
11268,1954-05-14,Aimee,Petersohn,9999-01-01,Senior Engineer
11275,1955-10-18,Hitomi,Eppinger,9999-01-01,Senior Engineer
11290,1953-05-07,Visit,Dredge,9999-01-01,Engineer
11295,1953-02-03,Abdelkader,Lanzelotte,9999-01-01,Senior Staff
11319,1955-06-05,Pranas,Marrakchi,9999-01-01,Assistant Engineer
11320,1954-04-13,Atilio,McAlpine,9999-01-01,Senior Staff
11322,1952-07-19,Nathalie,Pocchiola,9999-01-01,Senior Engineer
11324,1953-11-16,Kauko,Billingsley,9999-01-01,Senior Engineer
11338,1954-11-03,Kwangsub,Hanratty,9999-01-01,Senior Staff
11339,1954-06-05,Flemming,Massonet,9999-01-01,Senior Engineer
11347,1954-12-27,Anneli,Jonsson,9999-01-01,Senior Engineer
11365,1953-11-17,Toshimi,Shinomoto,9999-01-01,Engineer
11376,1952-03-10,Valery,Suomi,9999-01-01,Senior Staff
11380,1952-04-23,Kenroku,Pelc,9999-01-01,Senior Engineer
11385,1952-03-04,Shiv,Ullian,9999-01-01,Engineer
11386,1954-09-27,Alselm,Assaf,9999-01-01,Senior Engineer
11393,1954-05-17,Junsik,Junot,9999-01-01,Senior Engineer
11398,1953-05-30,Oscar,Peir,9999-01-01,Senior Staff
11404,1954-09-15,Bedrich,Borovoy,9999-01-01,Technique Leader
11415,1953-10-29,Sanjiv,Anido,9999-01-01,Engineer
11421,1953-11-07,Josyula,Msuda,9999-01-01,Senior Engineer
11441,1954-11-16,Marlo,Aingworth,9999-01-01,Senior Staff
11449,1955-03-30,Kotesh,Asser,9999-01-01,Senior Engineer
11459,1953-10-14,Duke,Suomi,9999-01-01,Senior Staff
11469,1952-12-01,Guttorm,Giaccio,9999-01-01,Senior Engineer
11506,1955-06-16,Rance,Picel,9999-01-01,Staff
11509,1954-06-18,Aleksander,Feldhoffer,9999-01-01,Senior Engineer
11513,1954-07-16,Otmar,Mahnke,9999-01-01,Senior Staff
11515,1955-03-03,Ulf,Basawa,9999-01-01,Staff
11518,1953-07-21,Jinxi,Oxman,9999-01-01,Senior Staff
11524,1955-10-26,Xiadong,Standera,9999-01-01,Senior Engineer
11527,1952-02-06,Alagu,Boyle,9999-01-01,Staff
11528,1955-04-26,Zito,Dolinsky,9999-01-01,Technique Leader
11537,1955-06-29,DAIDA,Pehl,9999-01-01,Senior Staff
11554,1955-05-28,Subhash,Taubenfeld,9999-01-01,Staff
11555,1955-08-05,Kotesh,Perfilyeva,9999-01-01,Senior Staff
11567,1954-07-06,Teiji,Mitzlaff,9999-01-01,Senior Staff
11568,1955-12-01,Martins,Fujisaki,9999-01-01,Senior Engineer
11603,1954-12-07,Herb,Swen,9999-01-01,Senior Staff
11607,1953-12-03,Tomokazu,Foong,9999-01-01,Engineer
11615,1955-03-05,Shem,Isaak,9999-01-01,Senior Staff
11624,1955-05-16,Adil,Gammage,9999-01-01,Senior Engineer
11628,1952-02-14,Fan,Malinowski,9999-01-01,Senior Engineer
11640,1953-10-06,Valeri,Coorg,9999-01-01,Senior Engineer
11647,1953-10-13,Magy,Nitsche,9999-01-01,Senior Engineer
11660,1955-07-19,Gill,Stenning,9999-01-01,Senior Staff
11673,1954-12-20,Henk,Felder,9999-01-01,Technique Leader
11676,1952-04-12,Valeri,Ferriere,9999-01-01,Engineer
11681,1952-05-15,Fumitake,Benzmuller,9999-01-01,Senior Engineer
11684,1953-03-07,Oksana,Gide,9999-01-01,Senior Staff
11696,1954-10-26,Dante,Rothe,9999-01-01,Senior Staff
11732,1955-06-14,Sanjoy,Ranft,9999-01-01,Senior Engineer
11735,1955-02-19,Amalendu,Picci,9999-01-01,Senior Staff
11746,1952-05-22,Koichi,Marrakchi,9999-01-01,Senior Staff
11751,1953-02-02,Jiafu,Emiris,9999-01-01,Senior Staff
11764,1953-04-22,Sanjay,Anick,9999-01-01,Senior Engineer
11769,1953-07-17,Chandrasekaran,Lampe,9999-01-01,Senior Staff
11772,1954-06-19,Gaurav,Penz,9999-01-01,Engineer
11797,1954-08-12,Chenxi,Thambidurai,9999-01-01,Senior Staff
11810,1952-12-08,Amabile,Bhattacharjee,9999-01-01,Senior Engineer
11817,1955-05-25,Niranjan,Markovitch,9999-01-01,Senior Staff
11832,1952-05-18,Arto,Zlotek,9999-01-01,Engineer
11844,1953-10-30,Shawna,Demeyer,9999-01-01,Senior Engineer
11853,1952-06-19,Zeljko,Kusakabe,9999-01-01,Senior Staff
11857,1955-12-03,Divier,Farrag,9999-01-01,Senior Staff
11864,1952-06-14,Pradeep,Kriebel,9999-01-01,Staff
11871,1953-05-02,Nalini,Sommen,9999-01-01,Senior Engineer
11872,1953-01-17,Cheong,Riexinger,9999-01-01,Senior Staff
11894,1954-12-23,Mitchel,Validov,9999-01-01,Senior Engineer
11897,1952-11-23,Cordelia,Setlzner,9999-01-01,Senior Staff
11906,1955-04-26,Hideo,Boguraev,9999-01-01,Engineer
11915,1954-08-16,Miomir,Mawatari,9999-01-01,Senior Engineer
11931,1952-10-30,Gunilla,Chiodo,9999-01-01,Senior Staff
11933,1953-08-15,Basil,Erman,9999-01-01,Senior Engineer
11949,1953-01-27,Martijn,Harbusch,9999-01-01,Technique Leader
11983,1953-01-04,Jaana,Hedayat,9999-01-01,Senior Engineer
11993,1955-10-29,Marit,Dalphin,9999-01-01,Senior Staff
12011,1953-12-16,Zhilian,Coorg,9999-01-01,Senior Staff
12036,1953-03-02,Mads,Ratzlaff,9999-01-01,Senior Staff
12037,1954-01-11,Arunas,Katzenelson,9999-01-01,Senior Staff
12050,1953-06-08,Yuchang,Tchuente,9999-01-01,Engineer
12062,1954-01-20,Margareta,Worfolk,9999-01-01,Senior Staff
12069,1953-12-27,Ayonca,Burnard,9999-01-01,Senior Engineer
12070,1955-07-23,Ger,Shokrollahi,9999-01-01,Technique Leader
12076,1955-03-16,Karlis,Siprelle,9999-01-01,Senior Staff
12082,1953-09-20,Xinan,Yamaashi,9999-01-01,Senior Staff
12089,1954-06-21,Bilhanan,Socorro,9999-01-01,Senior Staff
12099,1953-01-12,Nobuyoshi,Kuzuoka,9999-01-01,Senior Staff
12112,1953-07-01,Satyanarayana,Avouris,9999-01-01,Senior Staff
12122,1954-06-27,Satoru,Krone,9999-01-01,Senior Engineer
12123,1954-07-08,Xiahua,Syrzycki,9999-01-01,Senior Staff
12125,1953-04-16,Shounak,Erman,9999-01-01,Engineer
12149,1954-10-25,Suebskul,Grandbois,9999-01-01,Senior Staff
12159,1955-08-15,Shem,Perly,9999-01-01,Senior Engineer
12165,1952-11-19,Xiaobin,Maquelin,9999-01-01,Senior Engineer
12183,1954-06-29,Harngdar,Iisaku,9999-01-01,Engineer
12192,1954-11-06,Feiyu,Klyachko,9999-01-01,Senior Engineer
12205,1955-08-24,Sushant,Rossi,9999-01-01,Senior Engineer
12206,1954-11-21,Barton,Janetzko,9999-01-01,Senior Engineer
12218,1954-08-01,Yaghout,Strooper,9999-01-01,Senior Engineer
12221,1955-07-14,Vincent,Melter,9999-01-01,Senior Engineer
12222,1953-03-04,Abdelwaheb,Holburn,9999-01-01,Senior Staff
12223,1954-07-27,Niteen,Koyama,9999-01-01,Senior Engineer
12247,1952-03-26,Subbu,Penttonen,9999-01-01,Technique Leader
12249,1952-09-20,Eldridge,Sadowski,9999-01-01,Senior Engineer
12256,1955-02-15,Guadalupe,Reghbati,9999-01-01,Senior Staff
12264,1953-12-30,Mart,Pagter,9999-01-01,Engineer
12270,1953-08-10,Shakhar,Kornyak,9999-01-01,Senior Staff
12272,1955-10-16,Behnaam,Grandbois,9999-01-01,Senior Staff
12308,1952-02-17,Mototsugu,Cronau,9999-01-01,Senior Staff
12311,1955-02-11,Susanne,Lubachevsky,9999-01-01,Senior Engineer
12327,1952-05-21,DAIDA,Bruckman,9999-01-01,Senior Engineer
12341,1955-02-13,Rasiah,Luga,9999-01-01,Senior Engineer
12343,1952-10-18,Sorina,Slaats,9999-01-01,Senior Staff
12365,1954-01-21,Kamakshi,Bisiani,9999-01-01,Senior Engineer
12373,1953-04-26,Mooi,Driscoll,9999-01-01,Senior Staff
12395,1955-01-08,Sanjit,Felder,9999-01-01,Senior Staff
12399,1955-11-15,Mihalis,Luga,9999-01-01,Senior Staff
12411,1952-05-31,Shao,Ibel,9999-01-01,Senior Staff
12413,1955-06-17,Hugh,Gadepally,9999-01-01,Senior Engineer
12417,1955-11-18,Dannz,Spelt,9999-01-01,Senior Engineer
12422,1954-12-04,Berhard,Demos,9999-01-01,Senior Staff
12454,1954-08-21,Kerryn,Farris,9999-01-01,Staff
12464,1955-09-08,Shai,Milicic,9999-01-01,Staff
12475,1953-03-30,Filipe,Roison,9999-01-01,Senior Engineer
12487,1954-04-24,Mona,Reghbati,9999-01-01,Senior Staff
12489,1955-01-23,Arnould,Munck,9999-01-01,Senior Engineer
12490,1955-08-08,Jackson,Muchinsky,9999-01-01,Senior Engineer
12497,1953-08-26,Stein,Penz,9999-01-01,Senior Staff
12501,1954-11-22,Morrie,Matheson,9999-01-01,Senior Staff
12504,1953-01-04,Adly,Rosaz,9999-01-01,Engineer
12514,1952-11-14,Tomofumi,Melter,9999-01-01,Engineer
12528,1952-11-20,Conor,Cincotta,9999-01-01,Senior Staff
12534,1953-01-31,Yongmao,Gerlach,9999-01-01,Senior Engineer
12541,1952-04-22,Shih,Nanard,9999-01-01,Senior Staff
12542,1954-07-26,Kazuhide,Bouloucos,9999-01-01,Senior Staff
12551,1954-03-15,Jeane,Tzvieli,9999-01-01,Senior Engineer
12553,1954-05-08,Aral,Vesna,9999-01-01,Senior Staff
12557,1954-01-01,Stafford,Kopetz,9999-01-01,Senior Engineer
12589,1952-11-23,Anoosh,Chleq,9999-01-01,Senior Engineer
12596,1955-10-10,Breannda,Roisin,9999-01-01,Senior Staff
12601,1955-08-16,Ghassan,Simkin,9999-01-01,Senior Engineer
12608,1955-10-27,Nectarios,Mondadori,9999-01-01,Senior Staff
12635,1952-11-09,Xinyu,Restivo,9999-01-01,Senior Engineer
12638,1954-11-09,Yuqun,Seiwald,9999-01-01,Engineer
12642,1955-09-27,Suebskul,Gips,9999-01-01,Senior Staff
12651,1952-07-24,Pragnesh,Bael,9999-01-01,Senior Staff
12662,1952-08-02,Leucio,Alvarado,9999-01-01,Engineer
12663,1954-10-31,Nobuyoshi,Stellhorn,9999-01-01,Technique Leader
12664,1952-05-01,Zhonghua,Parveen,9999-01-01,Staff
12689,1953-01-19,Luerbio,Boudaillier,9999-01-01,Senior Engineer
12691,1952-10-17,Oddvar,Gils,9999-01-01,Senior Engineer
12697,1955-06-25,Uri,Brizzi,9999-01-01,Senior Staff
12709,1955-08-09,Ronghao,Botman,9999-01-01,Senior Engineer
12717,1953-04-17,Tzu,Jiafu,9999-01-01,Staff
12722,1955-09-23,Elliott,Cheshire,9999-01-01,Senior Staff
12726,1954-03-27,Fumitake,Panwar,9999-01-01,Senior Engineer
12729,1954-05-18,Nahla,Rahier,9999-01-01,Senior Engineer
12731,1953-05-09,Yongmao,Waymire,9999-01-01,Senior Staff
12732,1952-09-27,Mara,Takanami,9999-01-01,Senior Staff
12734,1952-03-05,Gil,Frijda,9999-01-01,Senior Engineer
12755,1955-02-20,Rildo,Rodite,9999-01-01,Senior Staff
12773,1952-06-26,Jenwei,Lovengreen,9999-01-01,Senior Engineer
12790,1953-02-05,Gunilla,Perl,9999-01-01,Senior Staff
12795,1952-05-06,Masoud,Fordan,9999-01-01,Senior Staff
12798,1952-05-18,Lillian,Beeson,9999-01-01,Senior Staff
12803,1952-05-12,Gad,Boissier,9999-01-01,Senior Staff
12815,1955-03-25,Sushant,Junot,9999-01-01,Senior Staff
12819,1953-07-30,Mountaz,Gubsky,9999-01-01,Senior Engineer
12848,1953-01-17,Kazuhide,Smeets,9999-01-01,Engineer
12863,1954-08-02,Leif,Matheson,9999-01-01,Senior Engineer
12872,1953-02-18,Marl,Schmittgen,9999-01-01,Senior Staff
12879,1955-09-07,Baruch,Eugenio,9999-01-01,Senior Engineer
12890,1955-10-05,Neven,Casley,9999-01-01,Senior Staff
12893,1954-10-09,Licheng,Crouzet,9999-01-01,Senior Staff
12895,1952-04-28,Roddy,Serot,9999-01-01,Senior Engineer
12905,1955-01-24,Munehiro,Gecsei,9999-01-01,Senior Engineer
12926,1952-04-24,Heekeun,Luby,9999-01-01,Senior Staff
12940,1953-10-25,Odinaldo,Farrar,9999-01-01,Senior Engineer
12941,1954-07-29,Tommaso,Perelgut,9999-01-01,Senior Engineer
12949,1955-02-24,Geoff,Asrin,9999-01-01,Senior Engineer
12977,1954-11-29,Byong,Markovitch,9999-01-01,Senior Engineer
12983,1954-04-07,Elliott,Hambrick,9999-01-01,Staff
13030,1955-02-12,Yahiko,Kroll,9999-01-01,Senior Staff
13046,1953-03-09,Vivian,Stafford,9999-01-01,Senior Staff
13047,1953-04-24,Atilio,Chelton,9999-01-01,Senior Engineer
13075,1955-05-24,Rosella,Morrin,9999-01-01,Senior Staff
13076,1954-03-09,Deniz,Skafidas,9999-01-01,Engineer
13096,1953-01-03,Ibibia,Armand,9999-01-01,Senior Engineer
13103,1952-05-09,Srinidhi,Ellozy,9999-01-01,Senior Engineer
13124,1955-11-06,Quingbo,Garnick,9999-01-01,Senior Staff
13133,1955-06-21,Guther,Senzako,9999-01-01,Senior Staff
13134,1955-06-25,Lorien,Chepyzhov,9999-01-01,Senior Engineer
13144,1952-07-11,Persi,Nollmann,9999-01-01,Senior Staff
13146,1953-11-01,Haldon,Erie,9999-01-01,Senior Staff
13147,1955-12-28,Shichao,Ginesta,9999-01-01,Senior Staff
13156,1952-04-19,Akeel,Millington,9999-01-01,Senior Engineer
13165,1954-09-09,Lucian,Benner,9999-01-01,Senior Engineer
13168,1954-06-10,Munir,Stentiford,9999-01-01,Senior Engineer
13170,1955-10-25,Cheong,Bernardeschi,9999-01-01,Senior Staff
13171,1954-12-29,Anoosh,Birnbaum,9999-01-01,Senior Engineer
13173,1953-04-20,Arve,Horswill,9999-01-01,Senior Staff
13179,1955-09-09,Moty,Janocha,9999-01-01,Staff
13182,1954-02-25,Kokou,Rodite,9999-01-01,Engineer
13186,1955-06-19,Kyoichi,Barbanera,9999-01-01,Senior Staff
13192,1953-01-28,Rosita,Flowers,9999-01-01,Technique Leader
13202,1953-05-10,Aram,Scharstein,9999-01-01,Senior Staff
13210,1953-06-19,Jianhua,Klassen,9999-01-01,Senior Staff
13213,1954-12-29,Hein,Billawala,9999-01-01,Senior Staff
13232,1955-01-29,Mitchel,Fujisaki,9999-01-01,Technique Leader
13233,1954-08-11,Alselm,Chvatal,9999-01-01,Senior Engineer
13238,1953-02-23,Ebru,Foote,9999-01-01,Senior Staff
13240,1955-02-14,King,Pileggi,9999-01-01,Senior Engineer
13250,1954-02-20,Zeydy,Schusler,9999-01-01,Senior Engineer
13272,1953-10-11,Arun,Jiang,9999-01-01,Senior Staff
13276,1955-05-07,Yechiam,Seuren,9999-01-01,Senior Staff
13288,1952-08-24,Muneo,Broomell,9999-01-01,Senior Staff
13291,1952-04-29,Georg,Stamatiou,9999-01-01,Senior Engineer
13302,1954-06-21,Mack,Alencar,9999-01-01,Senior Engineer
13315,1955-09-08,Sakthirel,Stroustrup,9999-01-01,Senior Engineer
13332,1954-12-02,Nidapan,Pearson,9999-01-01,Senior Engineer
13333,1953-07-17,Yoshinari,Hennebert,9999-01-01,Engineer
13341,1953-06-02,Bodh,Doering,9999-01-01,Senior Staff
13343,1952-04-06,Heon,Usery,9999-01-01,Senior Staff
13368,1953-12-29,Kiyokazu,Klassen,9999-01-01,Staff
13371,1954-01-23,Nakhoon,Riexinger,9999-01-01,Senior Engineer
13373,1954-09-08,Juichirou,Naumovich,9999-01-01,Senior Staff
13385,1954-11-15,Claudi,Buchter,9999-01-01,Senior Staff
13386,1952-04-27,Khosrow,Sgarro,9999-01-01,Technique Leader
13389,1954-04-26,Divine,Cmelik,9999-01-01,Senior Staff
13392,1953-04-05,Fumitake,Beidas,9999-01-01,Senior Staff
13396,1952-05-19,Chuanyi,Aumann,9999-01-01,Senior Staff
13402,1955-05-15,Augustine,Dulli,9999-01-01,Engineer
13405,1954-01-19,Randy,Baba,9999-01-01,Senior Staff
13407,1954-01-09,Gio,Chenoweth,9999-01-01,Senior Engineer
13408,1954-12-27,Sreekrishna,Lagarias,9999-01-01,Senior Engineer
13415,1955-06-23,Nathalie,Speer,9999-01-01,Technique Leader
13422,1952-08-20,Vishwani,Gerlach,9999-01-01,Senior Engineer
13442,1953-03-14,Giordano,Miake,9999-01-01,Senior Staff
13443,1954-07-22,Mayuko,Puppo,9999-01-01,Senior Engineer
13445,1954-12-22,Renee,Dehkordi,9999-01-01,Engineer
13451,1952-03-21,Gretta,Weiland,9999-01-01,Senior Staff
13457,1955-06-27,Shooichi,Parfitt,9999-01-01,Senior Engineer
13458,1954-12-21,Feipei,Nivat,9999-01-01,Senior Engineer
13463,1954-08-29,Theron,Berstel,9999-01-01,Senior Engineer
13465,1953-11-01,Sasan,Rehfuss,9999-01-01,Engineer
13493,1954-09-08,Uinam,Jullig,9999-01-01,Senior Engineer
13504,1954-01-09,Parto,Mandell,9999-01-01,Engineer
13524,1955-11-06,Chaoyi,Porotnikoff,9999-01-01,Senior Staff
13535,1954-12-25,Arunas,Schlenzig,9999-01-01,Senior Engineer
13546,1955-02-22,Aimee,Brookner,9999-01-01,Senior Engineer
13549,1952-05-02,Matk,Koprowski,9999-01-01,Technique Leader
13552,1955-03-23,Ingmar,Capobianchi,9999-01-01,Senior Staff
13576,1954-08-05,Jungsoon,Engberts,9999-01-01,Senior Staff
13605,1953-08-02,Dmitry,Encarnacion,9999-01-01,Senior Staff
13621,1954-02-28,Fei,Haddadi,9999-01-01,Engineer
13624,1952-12-15,Zhigen,Yurek,9999-01-01,Senior Staff
13629,1954-09-13,Dzung,Trelles,9999-01-01,Senior Engineer
13648,1954-03-28,Zejun,Lamba,9999-01-01,Technique Leader
13653,1955-01-01,Kristen,Iivonen,9999-01-01,Senior Staff
13670,1953-05-06,Moti,Takanami,9999-01-01,Senior Engineer
13680,1953-08-08,Denny,Speer,9999-01-01,Staff
13685,1954-05-02,Weicheng,Hockney,9999-01-01,Senior Engineer
13697,1953-04-07,Shuichi,Weedon,9999-01-01,Technique Leader
13704,1955-05-26,Vishu,Kumaresan,9999-01-01,Senior Engineer
13721,1952-07-01,Sugwoo,Delgrossi,9999-01-01,Senior Staff
13727,1952-08-13,Vitali,Merey,9999-01-01,Staff
