emp_no,title,to_date,salary,birth_date
10387,Senior Staff,9999-01-01,61374,1952-11-03
10388,Staff,9999-01-01,62545,1953-03-29
10389,Technique Leader,9999-01-01,55548,1953-03-24
10396,Senior Engineer,9999-01-01,40393,1955-08-21
10397,Technique Leader,9999-01-01,40529,1955-11-11
10402,Technique Leader,9999-01-01,40000,1953-07-23
10404,Senior Engineer,9999-01-01,51647,1955-04-27
10407,Senior Staff,9999-01-01,62565,1955-07-05
10413,Senior Staff,9999-01-01,45416,1952-05-05
10418,Staff,9999-01-01,52224,1952-06-29
10422,Engineer,9999-01-01,45725,1954-06-02
10426,Technique Leader,9999-01-01,65757,1955-12-28
10429,Senior Engineer,9999-01-01,40000,1952-02-13
10432,Senior Staff,9999-01-01,40000,1953-11-06
10433,Engineer,9999-01-01,40000,1954-09-02
10451,Senior Engineer,9999-01-01,46275,1952-10-06
10453,Senior Staff,9999-01-01,40000,1953-07-19
10463,Staff,9999-01-01,66480,1954-05-20
10477,Senior Engineer,9999-01-01,55138,1952-12-07
10486,Senior Engineer,9999-01-01,71692,1952-08-24
10494,Senior Engineer,9999-01-01,50094,1953-12-21
10497,Senior Engineer,9999-01-01,63707,1953-06-09
10499,Senior Staff,9999-01-01,40000,1953-10-04
10503,Engineer,9999-01-01,40000,1952-05-17
10504,Staff,9999-01-01,43931,1953-04-07
10509,Senior Staff,9999-01-01,49292,1953-10-03
10512,Senior Staff,9999-01-01,40000,1955-11-16
10517,Senior Staff,9999-01-01,65330,1953-06-18
10522,Senior Staff,9999-01-01,40000,1955-07-24
10529,Assistant Engineer,9999-01-01,47840,1952-11-21
10531,Staff,9999-01-01,49168,1954-06-11
10542,Senior Engineer,9999-01-01,40000,1955-01-05
10548,Senior Staff,9999-01-01,90631,1952-06-12
10552,Senior Engineer,9999-01-01,80483,1953-03-25
10564,Senior Engineer,9999-01-01,46660,1955-04-14
10568,Staff,9999-01-01,64356,1953-12-02
10586,Senior Engineer,9999-01-01,47541,1954-06-23
10593,Senior Engineer,9999-01-01,71435,1952-07-24
10596,Senior Staff,9999-01-01,58689,1954-01-24
10603,Staff,9999-01-01,101271,1955-08-02
10610,Engineer,9999-01-01,49812,1955-06-24
10614,Senior Engineer,9999-01-01,40000,1953-07-11
10615,Senior Staff,9999-01-01,43533,1955-08-30
10623,Senior Engineer,9999-01-01,60268,1953-07-11
10624,Technique Leader,9999-01-01,40000,1955-12-19
10628,Senior Engineer,9999-01-01,41650,1954-04-18
10630,Engineer,9999-01-01,40000,1954-08-10
10631,Engineer,9999-01-01,40000,1955-05-17
10634,Senior Engineer,9999-01-01,45179,1954-08-01
10636,Staff,9999-01-01,40904,1955-08-25
10639,Senior Engineer,9999-01-01,46291,1953-04-18
10641,Engineer,9999-01-01,41785,1953-12-24
10642,Engineer,9999-01-01,40000,1955-12-19
10653,Senior Engineer,9999-01-01,40000,1953-06-16
10667,Senior Staff,9999-01-01,40000,1955-08-05
10671,Senior Staff,9999-01-01,74037,1953-06-12
10676,Engineer,9999-01-01,58226,1953-08-26
10683,Senior Engineer,9999-01-01,40000,1952-06-18
10693,Senior Staff,9999-01-01,40000,1953-12-14
10696,Technique Leader,9999-01-01,68913,1952-03-23
10702,Senior Engineer,9999-01-01,46581,1952-11-25
10712,Senior Engineer,9999-01-01,40000,1952-04-12
10718,Senior Engineer,9999-01-01,75473,1955-12-19
10726,Senior Engineer,9999-01-01,46315,1954-01-11
10734,Engineer,9999-01-01,47377,1954-07-06
10741,Senior Staff,9999-01-01,50265,1954-01-02
10742,Technique Leader,9999-01-01,67405,1955-03-13
10745,Senior Engineer,9999-01-01,40000,1953-10-23
10749,Senior Engineer,9999-01-01,60829,1955-08-21
10750,Technique Leader,9999-01-01,40000,1953-06-14
10764,Senior Engineer,9999-01-01,70720,1953-01-12
10767,Staff,9999-01-01,40651,1954-02-28
10768,Senior Engineer,9999-01-01,65717,1955-06-24
10778,Senior Staff,9999-01-01,64996,1953-03-13
10791,Senior Engineer,9999-01-01,40000,1954-05-27
10795,Senior Staff,9999-01-01,84206,1954-12-14
10808,Senior Engineer,9999-01-01,40000,1955-09-11
10811,Engineer,9999-01-01,40000,1954-06-29
10813,Senior Staff,9999-01-01,53246,1954-07-04
10814,Senior Staff,9999-01-01,59378,1952-09-17
10826,Senior Engineer,9999-01-01,59506,1952-12-06
10827,Staff,9999-01-01,58322,1953-09-25
10830,Senior Staff,9999-01-01,47420,1954-08-17
10831,Technique Leader,9999-01-01,82330,1953-10-11
10833,Technique Leader,9999-01-01,40000,1953-04-12
10834,Engineer,9999-01-01,53869,1954-12-16
10835,Engineer,9999-01-01,40000,1952-11-23
10836,Senior Staff,9999-01-01,65502,1953-07-15
10844,Engineer,9999-01-01,40000,1954-02-03
10846,Senior Engineer,9999-01-01,40000,1952-06-27
10847,Senior Staff,9999-01-01,40000,1952-03-04
10848,Senior Engineer,9999-01-01,50475,1954-07-16
10849,Engineer,9999-01-01,66065,1953-03-05
10854,Engineer,9999-01-01,40000,1954-08-11
10858,Senior Engineer,9999-01-01,47847,1952-10-01
10871,Staff,9999-01-01,40000,1952-10-24
10872,Senior Staff,9999-01-01,40000,1952-02-21
10873,Staff,9999-01-01,65835,1952-07-09
10878,Staff,9999-01-01,72102,1952-06-13
10879,Senior Engineer,9999-01-01,65651,1953-08-18
10882,Engineer,9999-01-01,40000,1953-11-01
10883,Engineer,9999-01-01,40000,1952-07-30
10885,Senior Staff,9999-01-01,78613,1953-05-06
10887,Senior Engineer,9999-01-01,69570,1953-01-16
10900,Senior Engineer,9999-01-01,50054,1955-07-18
10906,Staff,9999-01-01,66204,1952-02-06
10909,Senior Engineer,9999-01-01,80935,1954-11-11
10913,Staff,9999-01-01,62428,1952-09-03
10920,Senior Staff,9999-01-01,40000,1955-04-08
10921,Senior Engineer,9999-01-01,72601,1955-07-20
10924,Senior Staff,9999-01-01,84783,1954-04-27
10926,Senior Engineer,9999-01-01,43219,1954-10-13
10927,Senior Staff,9999-01-01,51819,1953-03-13
10930,Senior Engineer,9999-01-01,53785,1954-01-13
10932,Senior Engineer,9999-01-01,40000,1955-11-19
10936,Senior Staff,9999-01-01,40000,1953-04-08
10942,Engineer,9999-01-01,40000,1952-08-08
10943,Senior Engineer,9999-01-01,45890,1955-11-19
10944,Senior Engineer,9999-01-01,42872,1952-05-25
10947,Senior Staff,9999-01-01,43068,1954-09-29
10949,Senior Staff,9999-01-01,58253,1953-08-14
10956,Engineer,9999-01-01,40000,1955-02-02
10965,Senior Staff,9999-01-01,61654,1955-07-10
10969,Senior Engineer,9999-01-01,40000,1954-09-05
10974,Senior Engineer,9999-01-01,56005,1952-03-07
10986,Technique Leader,9999-01-01,43900,1954-08-11
10987,Engineer,9999-01-01,46108,1952-11-26
10988,Senior Engineer,9999-01-01,54174,1955-06-24
10989,Senior Staff,9999-01-01,46406,1954-09-08
10990,Technique Leader,9999-01-01,40000,1954-10-22
10996,Senior Staff,9999-01-01,43564,1955-02-01
11004,Senior Engineer,9999-01-01,40226,1954-08-05
11009,Senior Staff,9999-01-01,75111,1954-08-30
11012,Staff,9999-01-01,72092,1953-09-12
11019,Senior Engineer,9999-01-01,69387,1954-09-06
11021,Staff,9999-01-01,62670,1954-07-13
11027,Senior Engineer,9999-01-01,40000,1955-12-13
11031,Senior Staff,9999-01-01,71654,1954-12-20
11032,Staff,9999-01-01,40000,1953-04-19
11037,Senior Engineer,9999-01-01,40000,1952-05-22
11038,Senior Staff,9999-01-01,44993,1955-10-13
11042,Senior Engineer,9999-01-01,40000,1955-07-13
11048,Senior Staff,9999-01-01,65697,1952-10-26
11050,Senior Staff,9999-01-01,52251,1952-09-23
11051,Senior Engineer,9999-01-01,40000,1952-10-06
11056,Staff,9999-01-01,79354,1955-10-24
11061,Senior Staff,9999-01-01,81257,1954-11-11
11064,Senior Engineer,9999-01-01,48411,1952-08-10
11066,Senior Staff,9999-01-01,53496,1954-11-06
11070,Senior Engineer,9999-01-01,40000,1952-06-30
11071,Senior Engineer,9999-01-01,40000,1954-07-18
11075,Senior Engineer,9999-01-01,76877,1954-10-28
11079,Senior Engineer,9999-01-01,46239,1952-09-18
11081,Senior Staff,9999-01-01,65686,1952-06-20
11083,Senior Staff,9999-01-01,90972,1954-07-09
11084,Senior Engineer,9999-01-01,52121,1955-07-03
11085,Senior Engineer,9999-01-01,66437,1953-09-08
11087,Senior Engineer,9999-01-01,78081,1954-05-17
11089,Senior Staff,9999-01-01,41004,1955-02-18
11091,Engineer,9999-01-01,76253,1952-10-10
11092,Staff,9999-01-01,78588,1954-09-28
11098,Engineer,9999-01-01,40000,1953-09-11
11100,Senior Staff,9999-01-01,40000,1955-10-14
11106,Senior Engineer,9999-01-01,71446,1955-02-23
11111,Assistant Engineer,9999-01-01,49777,1954-07-14
11112,Staff,9999-01-01,40000,1954-08-05
11113,Senior Staff,9999-01-01,66401,1953-04-28
11121,Senior Engineer,9999-01-01,40000,1953-02-13
11130,Senior Staff,9999-01-01,43172,1953-01-17
11132,Senior Engineer,9999-01-01,40000,1952-08-01
11133,Technique Leader,9999-01-01,40000,1955-12-13
11134,Senior Engineer,9999-01-01,58731,1954-05-15
11137,Engineer,9999-01-01,40000,1955-03-17
11139,Senior Staff,9999-01-01,63596,1955-10-13
11143,Engineer,9999-01-01,63264,1955-03-06
11144,Senior Staff,9999-01-01,56144,1954-12-07
11146,Senior Staff,9999-01-01,96019,1954-06-25
11147,Engineer,9999-01-01,40000,1955-09-26
11148,Senior Staff,9999-01-01,56344,1953-01-23
11158,Senior Engineer,9999-01-01,40000,1952-02-23
11162,Senior Engineer,9999-01-01,69873,1953-03-25
11168,Senior Staff,9999-01-01,72944,1953-05-03
11170,Senior Engineer,9999-01-01,44531,1952-05-05
11174,Engineer,9999-01-01,45806,1952-09-14
11177,Senior Engineer,9999-01-01,40000,1954-04-09
11180,Senior Engineer,9999-01-01,40000,1952-11-07
11181,Engineer,9999-01-01,40000,1952-05-28
11185,Senior Staff,9999-01-01,40000,1954-04-10
11186,Senior Engineer,9999-01-01,40000,1953-07-15
11189,Senior Staff,9999-01-01,71798,1953-03-07
11192,Engineer,9999-01-01,40000,1952-09-06
11197,Senior Staff,9999-01-01,88741,1955-05-11
11201,Staff,9999-01-01,49454,1952-05-20
11204,Technique Leader,9999-01-01,40000,1955-12-15
11207,Engineer,9999-01-01,49728,1955-08-14
11208,Technique Leader,9999-01-01,83660,1952-05-29
11211,Senior Engineer,9999-01-01,72668,1952-12-11
11213,Technique Leader,9999-01-01,40000,1955-10-19
11217,Senior Engineer,9999-01-01,40000,1954-07-01
11229,Senior Engineer,9999-01-01,48214,1953-10-20
11232,Senior Staff,9999-01-01,43863,1955-09-03
11233,Senior Engineer,9999-01-01,46070,1952-05-08
11240,Engineer,9999-01-01,61739,1955-08-12
11243,Assistant Engineer,9999-01-01,47598,1955-06-14
11249,Engineer,9999-01-01,43324,1954-10-01
11251,Senior Staff,9999-01-01,69432,1955-10-16
11253,Senior Engineer,9999-01-01,40000,1952-09-11
11254,Staff,9999-01-01,50562,1954-12-14
11258,Senior Staff,9999-01-01,40000,1953-10-12
11266,Senior Engineer,9999-01-01,40000,1955-08-09
11267,Senior Engineer,9999-01-01,65990,1955-10-18
11268,Senior Engineer,9999-01-01,40000,1954-05-14
11274,Staff,9999-01-01,40000,1954-09-08
11275,Senior Engineer,9999-01-01,58382,1955-10-18
11289,Senior Engineer,9999-01-01,40000,1953-03-20
11290,Engineer,9999-01-01,65034,1953-05-07
11292,Senior Engineer,9999-01-01,40000,1953-05-18
11294,Senior Engineer,9999-01-01,43768,1954-06-11
11295,Senior Staff,9999-01-01,66622,1953-02-03
11296,Senior Engineer,9999-01-01,40000,1954-12-24
11301,Senior Staff,9999-01-01,40000,1953-08-19
11317,Senior Staff,9999-01-01,40000,1954-07-24
11319,Assistant Engineer,9999-01-01,40000,1955-06-05
11320,Senior Staff,9999-01-01,45118,1954-04-13
11322,Senior Engineer,9999-01-01,43021,1952-07-19
11324,Senior Engineer,9999-01-01,54288,1953-11-16
11325,Engineer,9999-01-01,62458,1952-02-06
11326,Senior Engineer,9999-01-01,40000,1952-09-15
11338,Senior Staff,9999-01-01,82210,1954-11-03
11339,Senior Engineer,9999-01-01,40000,1954-06-05
11340,Senior Engineer,9999-01-01,48813,1952-12-04
11343,Senior Engineer,9999-01-01,43306,1954-09-10
11347,Senior Engineer,9999-01-01,41524,1954-12-27
11349,Engineer,9999-01-01,46356,1953-09-05
11360,Senior Staff,9999-01-01,63466,1953-05-24
11365,Engineer,9999-01-01,56463,1953-11-17
11373,Senior Staff,9999-01-01,45912,1953-07-29
11376,Senior Staff,9999-01-01,46964,1952-03-10
11380,Senior Engineer,9999-01-01,53345,1952-04-23
11385,Engineer,9999-01-01,40000,1952-03-04
11386,Senior Engineer,9999-01-01,47726,1954-09-27
11393,Senior Engineer,9999-01-01,40000,1954-05-17
11396,Engineer,9999-01-01,48918,1955-02-06
11398,Senior Staff,9999-01-01,44625,1953-05-30
11401,Staff,9999-01-01,52021,1952-12-20
11404,Technique Leader,9999-01-01,42907,1954-09-15
11406,Senior Staff,9999-01-01,71834,1955-04-11
11410,Engineer,9999-01-01,45665,1953-11-27
11415,Engineer,9999-01-01,40000,1953-10-29
11417,Technique Leader,9999-01-01,74114,1954-11-20
11418,Senior Staff,9999-01-01,40000,1954-03-21
11420,Senior Staff,9999-01-01,40000,1955-04-30
11421,Senior Engineer,9999-01-01,52416,1953-11-07
11423,Staff,9999-01-01,43947,1954-09-16
11425,Senior Engineer,9999-01-01,40000,1955-11-20
11441,Senior Staff,9999-01-01,67352,1954-11-16
11446,Senior Engineer,9999-01-01,40000,1954-06-20
11449,Senior Engineer,9999-01-01,61434,1955-03-30
11451,Senior Engineer,9999-01-01,61848,1955-05-05
11452,Senior Staff,9999-01-01,52083,1953-01-16
11459,Senior Staff,9999-01-01,40000,1953-10-14
11460,Senior Engineer,9999-01-01,45712,1955-11-19
11469,Senior Engineer,9999-01-01,44625,1952-12-01
11474,Engineer,9999-01-01,59016,1953-04-17
11476,Staff,9999-01-01,56449,1954-06-20
11479,Staff,9999-01-01,78157,1953-12-02
11503,Senior Engineer,9999-01-01,56928,1953-08-01
11506,Staff,9999-01-01,89747,1955-06-16
11509,Senior Engineer,9999-01-01,40000,1954-06-18
11513,Senior Staff,9999-01-01,82525,1954-07-16
11515,Staff,9999-01-01,70182,1955-03-03
11518,Senior Staff,9999-01-01,40000,1953-07-21
11519,Senior Staff,9999-01-01,61444,1954-11-26
11523,Engineer,9999-01-01,64203,1953-01-25
11524,Senior Engineer,9999-01-01,41081,1955-10-26
11527,Staff,9999-01-01,60212,1952-02-06
11528,Technique Leader,9999-01-01,44026,1955-04-26
11531,Technique Leader,9999-01-01,53370,1952-09-08
11533,Technique Leader,9999-01-01,40000,1953-10-30
11537,Senior Staff,9999-01-01,96023,1955-06-29
11540,Senior Engineer,9999-01-01,70043,1954-01-26
11554,Staff,9999-01-01,46065,1955-05-28
11555,Senior Staff,9999-01-01,40000,1955-08-05
11567,Senior Staff,9999-01-01,86261,1954-07-06
11568,Senior Engineer,9999-01-01,54673,1955-12-01
11573,Senior Engineer,9999-01-01,46194,1952-12-18
11575,Engineer,9999-01-01,50896,1955-02-22
11577,Senior Engineer,9999-01-01,40000,1953-01-11
11581,Senior Engineer,9999-01-01,46950,1953-04-12
11587,Senior Engineer,9999-01-01,40000,1954-07-04
11589,Senior Engineer,9999-01-01,58444,1955-01-10
11595,Senior Staff,9999-01-01,68224,1953-02-26
11596,Staff,9999-01-01,54076,1952-12-22
11602,Senior Staff,9999-01-01,58575,1953-08-09
11603,Senior Staff,9999-01-01,69180,1954-12-07
11606,Senior Staff,9999-01-01,40000,1952-11-05
11607,Engineer,9999-01-01,49584,1953-12-03
11615,Senior Staff,9999-01-01,46591,1955-03-05
11616,Engineer,9999-01-01,41900,1954-07-12
11624,Senior Engineer,9999-01-01,42001,1955-05-16
11628,Senior Engineer,9999-01-01,43966,1952-02-14
11640,Senior Engineer,9999-01-01,52520,1953-10-06
11641,Senior Engineer,9999-01-01,53327,1955-10-13
11644,Assistant Engineer,9999-01-01,80722,1952-04-08
11646,Engineer,9999-01-01,55411,1953-06-22
11647,Senior Engineer,9999-01-01,40000,1953-10-13
11649,Technique Leader,9999-01-01,40000,1954-10-07
11660,Senior Staff,9999-01-01,65758,1955-07-19
11664,Senior Staff,9999-01-01,70380,1955-08-27
11667,Senior Staff,9999-01-01,79814,1955-05-15
11673,Technique Leader,9999-01-01,40000,1954-12-20
11676,Engineer,9999-01-01,43310,1952-04-12
11681,Senior Engineer,9999-01-01,40000,1952-05-15
11684,Senior Staff,9999-01-01,68753,1953-03-07
11690,Staff,9999-01-01,44420,1953-11-10
11693,Senior Engineer,9999-01-01,70403,1952-02-15
11696,Senior Staff,9999-01-01,51633,1954-10-26
11713,Senior Engineer,9999-01-01,53387,1952-02-27
11732,Senior Engineer,9999-01-01,40000,1955-06-14
11733,Senior Engineer,9999-01-01,46092,1954-05-25
11735,Senior Staff,9999-01-01,40000,1955-02-19
11736,Senior Engineer,9999-01-01,44127,1953-08-21
11737,Assistant Engineer,9999-01-01,48832,1952-07-17
11746,Senior Staff,9999-01-01,55951,1952-05-22
11748,Engineer,9999-01-01,54491,1953-03-07
11751,Senior Staff,9999-01-01,40000,1953-02-02
11756,Engineer,9999-01-01,59493,1955-02-24
11763,Engineer,9999-01-01,40000,1953-08-19
11764,Senior Engineer,9999-01-01,64875,1953-04-22
11765,Senior Staff,9999-01-01,40000,1955-08-17
11769,Senior Staff,9999-01-01,40000,1953-07-17
11770,Senior Engineer,9999-01-01,40000,1955-08-26
11772,Engineer,9999-01-01,61295,1954-06-19
11774,Engineer,9999-01-01,40000,1954-07-11
11778,Senior Engineer,9999-01-01,40000,1953-04-23
11779,Staff,9999-01-01,40000,1952-06-07
11791,Senior Engineer,9999-01-01,40000,1955-11-07
11797,Senior Staff,9999-01-01,88050,1954-08-12
11801,Senior Staff,9999-01-01,67265,1953-11-22
11807,Technique Leader,9999-01-01,40000,1955-12-25
11810,Senior Engineer,9999-01-01,41256,1952-12-08
11811,Senior Staff,9999-01-01,52695,1953-07-05
11817,Senior Staff,9999-01-01,50638,1955-05-25
11822,Staff,9999-01-01,67396,1954-08-30
11823,Senior Engineer,9999-01-01,72637,1954-09-25
11829,Assistant Engineer,9999-01-01,40000,1952-08-01
11832,Engineer,9999-01-01,40000,1952-05-18
11836,Senior Staff,9999-01-01,40000,1952-09-14
11841,Staff,9999-01-01,90296,1955-04-21
11842,Senior Staff,9999-01-01,40000,1954-03-31
11844,Senior Engineer,9999-01-01,78049,1953-10-30
11846,Senior Engineer,9999-01-01,53448,1954-04-24
11853,Senior Staff,9999-01-01,61941,1952-06-19
11857,Senior Staff,9999-01-01,94805,1955-12-03
11862,Senior Engineer,9999-01-01,46011,1954-01-25
11864,Staff,9999-01-01,52517,1952-06-14
11868,Engineer,9999-01-01,48349,1954-03-02
11869,Engineer,9999-01-01,62968,1955-09-14
11871,Senior Engineer,9999-01-01,67424,1953-05-02
11872,Senior Staff,9999-01-01,43159,1953-01-17
11876,Senior Engineer,9999-01-01,45372,1954-09-17
11881,Senior Staff,9999-01-01,76541,1952-08-06
11888,Senior Staff,9999-01-01,53720,1952-04-05
11894,Senior Engineer,9999-01-01,56198,1954-12-23
11896,Technique Leader,9999-01-01,40000,1953-06-14
11897,Senior Staff,9999-01-01,80049,1952-11-23
11906,Engineer,9999-01-01,81324,1955-04-26
11911,Senior Engineer,9999-01-01,40000,1952-07-08
11915,Senior Engineer,9999-01-01,58042,1954-08-16
11917,Engineer,9999-01-01,40000,1955-03-26
11926,Engineer,9999-01-01,41612,1955-04-06
11931,Senior Staff,9999-01-01,73369,1952-10-30
11933,Senior Engineer,9999-01-01,56130,1953-08-15
11938,Staff,9999-01-01,40000,1954-01-14
11940,Assistant Engineer,9999-01-01,60193,1954-06-24
11944,Senior Engineer,9999-01-01,52061,1952-05-15
11945,Staff,9999-01-01,53056,1952-02-17
11948,Senior Engineer,9999-01-01,49929,1952-02-21
11949,Technique Leader,9999-01-01,40000,1953-01-27
11951,Senior Engineer,9999-01-01,40000,1955-05-08
11965,Engineer,9999-01-01,57709,1954-12-03
11972,Senior Staff,9999-01-01,52908,1954-10-01
11980,Staff,9999-01-01,58241,1955-07-03
11983,Senior Engineer,9999-01-01,40000,1953-01-04
11989,Technique Leader,9999-01-01,40000,1953-10-29
11993,Senior Staff,9999-01-01,56505,1955-10-29
11994,Senior Staff,9999-01-01,49761,1953-02-11
12007,Senior Engineer,9999-01-01,40000,1952-06-18
12011,Senior Staff,9999-01-01,85833,1953-12-16
12015,Staff,9999-01-01,42853,1954-08-26
12021,Senior Engineer,9999-01-01,40000,1955-03-11
12023,Technique Leader,9999-01-01,40000,1954-07-05
12024,Staff,9999-01-01,65580,1952-11-09
12028,Senior Engineer,9999-01-01,51314,1952-11-21
12030,Staff,9999-01-01,40000,1953-06-02
12034,Staff,9999-01-01,40148,1954-04-15
12036,Senior Staff,9999-01-01,67143,1953-03-02
12037,Senior Staff,9999-01-01,47805,1954-01-11
12040,Senior Staff,9999-01-01,64813,1955-03-24
12043,Staff,9999-01-01,49009,1952-12-11
12044,Senior Engineer,9999-01-01,40000,1955-08-16
12047,Assistant Engineer,9999-01-01,52051,1954-01-16
12050,Engineer,9999-01-01,46704,1953-06-08
12053,Senior Engineer,9999-01-01,48319,1955-06-20
12054,Staff,9999-01-01,67400,1954-04-08
12060,Technique Leader,9999-01-01,40000,1955-03-25
12062,Senior Staff,9999-01-01,44199,1954-01-20
12063,Senior Engineer,9999-01-01,56022,1955-07-06
12069,Senior Engineer,9999-01-01,51928,1953-12-27
12070,Technique Leader,9999-01-01,50233,1955-07-23
12076,Senior Staff,9999-01-01,75381,1955-03-16
12080,Senior Staff,9999-01-01,47946,1953-10-16
12082,Senior Staff,9999-01-01,72118,1953-09-20
12089,Senior Staff,9999-01-01,46288,1954-06-21
12090,Engineer,9999-01-01,46269,1955-03-27
12091,Senior Engineer,9999-01-01,40000,1955-02-19
12092,Senior Staff,9999-01-01,40000,1955-07-20
12093,Senior Engineer,9999-01-01,40000,1952-07-02
12094,Senior Staff,9999-01-01,44788,1955-05-02
12099,Senior Staff,9999-01-01,104610,1953-01-12
12102,Staff,9999-01-01,90853,1952-10-14
12112,Senior Staff,9999-01-01,76538,1953-07-01
12114,Staff,9999-01-01,40000,1954-11-05
12122,Senior Engineer,9999-01-01,46398,1954-06-27
12123,Senior Staff,9999-01-01,64879,1954-07-08
12125,Engineer,9999-01-01,41215,1953-04-16
12138,Engineer,9999-01-01,40000,1953-09-02
12140,Senior Staff,9999-01-01,40000,1952-07-30
12149,Senior Staff,9999-01-01,109934,1954-10-25
12159,Senior Engineer,9999-01-01,61210,1955-08-15
12160,Senior Staff,9999-01-01,60391,1954-12-11
